Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	rawp	BH
AT2G41180	-2.77627408756612	1.21959754237445	-11.3329482272644	8.79710893420182e-07	6.71774618266512e-05	6.26803539066044	0.000141287966678894	0.0344675491483895
AT2G41240	2.0157708174806	1.9189705352137	9.56987745745783	3.82591021212678e-06	0.000173297382565702	4.95041650451556	0.000375915921740022	0.0370044186859767
AT2G42530	-5.42003366799095	3.33011504546124	-22.4639208395399	1.79784098769781e-09	2.53221700209919e-06	11.7231072312917	7.03561848804934e-05	0.0344675491483895
AT2G42540	-4.18849453533202	4.52619892843373	-19.4933720516211	6.62646703634663e-09	4.28263715924666e-06	11.186347180744	0.000616330471080673	0.0379367349731012
AT2G42800	-2.5802591847125	1.81445150555275	-10.6885608609961	1.46924220103831e-06	9.07505357648327e-05	5.87661264185536	0.0024247942867015	0.0477231880657405
AT2G43100	-2.56830460852954	4.31966971815691	-14.6225800013224	9.07143326202621e-08	1.79032381785983e-05	8.6195130788262	0.00147959687606081	0.0428615923095361
AT2G43530	-3.33717215393366	5.02828665528209	-19.2735681870167	7.35252660441976e-09	4.62211413648846e-06	11.1351079973366	0.00050788544939806	0.0379367349731012
AT2G43550	-3.89880113600234	4.20938761732525	-23.6451824715624	1.12033884075702e-09	2.28359527710611e-06	12.7693135707878	0.000104573500483873	0.0344675491483895
AT2G43590	-3.05034284348457	4.88389555168263	-15.0577813366414	6.96134769898744e-08	1.55691652984422e-05	8.87818204353811	0.00154416921884626	0.0435180976163861
AT2G44290	-2.35458006995557	2.87021038464208	-12.1105973856167	4.89617204903155e-07	4.52873274223721e-05	6.97210037039498	0.00240328724606487	0.0476957031875388
AT2G44460	3.39093926201603	2.27581911094259	11.1659762360198	1.00225698682283e-06	7.15843817704346e-05	6.24237469173671	0.00193406776877181	0.0463033875362168
AT2G46640	-2.93607571625514	1.73291653206389	-11.6349409051945	6.97804976140046e-07	5.60316250235119e-05	6.56008351000103	0.0022168774586997	0.0470605667562059
AT2G46650	-2.30263413743703	3.86464672766996	-18.6160668075265	1.01042227349862e-08	5.3548338806333e-06	10.8037011873546	4.65469247985517e-05	0.0344675491483895
AT2G46770	-4.26717517515672	-2.99542930826769	-7.85478262907872	2.01913571840548e-05	0.000494844621430679	2.71528042966671	0.00104864410973216	0.0407555695209585
AT2G46870	-2.00503272312572	2.83399900904349	-10.7231962490397	1.42832876224292e-06	8.94748357964846e-05	5.88939866190881	0.00216538237377639	0.0469471522551512
AT2G47880	-5.53083200177934	1.43431862393931	-14.7489260701412	8.39405574343242e-08	1.72117025938049e-05	7.92769343498406	0.00209681967962871	0.0468478312569997
AT3G01550	-3.04025399002738	2.43971592338127	-15.5696539989247	5.14441558527996e-08	1.32286213910518e-05	9.05332476051292	7.04832998372762e-05	0.0344675491483895
AT3G02020	-2.4425846731402	5.16181187179341	-14.9902806902986	7.24976709232268e-08	1.57462564272431e-05	8.81060637256218	0.00131328862547964	0.0416813077511639
AT3G03190	-2.85611009912147	2.25210122459259	-12.1013372395014	4.92947591653749e-07	4.52873274223721e-05	6.94502516557715	0.000379963154340413	0.0370044186859767
AT3G03480	-4.61300581952256	-0.455559828680695	-12.1367743372608	4.80335920055112e-07	4.51345432965261e-05	6.11915596668386	0.000615929781695002	0.0379367349731012
AT3G03850	-2.10663467898935	0.281349034621299	-7.15253293817593	4.331751261026e-05	0.000814344367115304	2.5830303098405	0.000437428309367771	0.0370044186859767
AT3G05600	-2.15559234166379	2.40422051181989	-12.7937563151503	3.00624236505637e-07	3.50922511846977e-05	7.44433862426957	8.64571443308648e-05	0.0344675491483895
